,none,random,bt,metacontrol,rosa,planta
none,,3.1235131102260385e-10,6.058901985029879e-13,6.058901985029879e-13,6.058901985029879e-13,6.058901985029879e-13
random,0.9999999997187251,,0.9999955839913259,0.9999955839913259,0.9999955839913259,0.9999955839913259
bt,0.9999999999994597,4.7299040953278995e-06,,1.5099296795810785e-11,1.5099296795810785e-11,0.5029502691915858
metacontrol,0.9999999999994597,4.7299040953278995e-06,0.9999999999863444,,0.9370149034145139,0.9999999999863444
rosa,0.9999999999994597,4.7299040953278995e-06,0.9999999999863444,0.06483511245414082,,0.9999999999863444
planta,0.9999999999994597,4.7299040953278995e-06,0.5029502691915858,1.5099296795810785e-11,1.5099296795810785e-11,
